MinWIO,min_ws,NumItemsets,Time(s),Memory(MB)
0.01,0.01,33,1.6715705394744873,46.83984375
0.01,0.03,17,0.9191372394561768,0.0
0.01,0.05,11,0.6242661476135254,8.859375
0.01,0.07,9,0.6387078762054443,4.984375
0.01,0.1,2,0.3791360855102539,0.84765625
0.03,0.01,17,1.0517001152038574,0.0
0.03,0.03,17,0.9480969905853271,0.0
0.03,0.05,11,0.5944850444793701,8.9296875
0.03,0.07,9,0.5802590847015381,5.16015625
0.03,0.1,2,0.3774535655975342,0.86328125
0.05,0.01,11,0.9009010791778564,0.0
0.05,0.03,11,0.7696776390075684,3.3984375
0.05,0.05,11,0.6326694488525391,8.5
0.05,0.07,9,0.5341207981109619,5.14453125
0.05,0.1,2,0.46301913261413574,0.0
0.07,0.01,9,0.9239535331726074,0.0
0.07,0.03,9,0.6863083839416504,8.3828125
0.07,0.05,9,0.6491580009460449,12.765625
0.07,0.07,9,0.5581586360931396,7.47265625
0.07,0.1,2,0.35278797149658203,1.62890625
0.1,0.01,2,0.9639790058135986,0.0
0.1,0.03,2,0.5155048370361328,7.80078125
0.1,0.05,2,0.59956955909729,0.0
0.1,0.07,2,0.4337880611419678,6.875
0.1,0.1,2,0.35639405250549316,1.79296875
